trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.3233/978-1-61499-322-3-123	Interface Humano-Computador para facilitar a utilização de ambiente de computação em nuvem no contexto de experimentos científicos	SEI'2014 - Seminário de Extensão e Inovação da UTFPR	NOYA, G. P. ; TANAKA, T. ; KRAEMER, A.	Qualis nao identificado	SEI'2014 - Seminário de Extensão e Inovação da UTFPR
trabalhoCompletoEmCongresso	2014		Gerenciador de Dados Compartilhados entre Processos de Negócio: Data-Control process para WED-tool	VIII Workshop Brasileiro em Gestão de Processos de Negócios	ROBERTO, Rafael Liberato ; SCHWERZ, André Luís ; TAKAI, Osvaldo Kotaro ; FERREIRA, João Eduardo	B5	Workshop Brasileiro de Gestão de Processos de Negócio
trabalhoCompletoEmCongresso	2014		Barriers Faced by Newcomers to Open Source Projects: A Systematic Review	The 10th IFIP WG 2.13 International Conference on Open Source Systems	STEINMACHER, Igor ; GRACIOTTO SILVA, M. A. ; GEROSA, Marco Aurelio	B2	International Conference on Open Source Systems
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.1109/SBES.2014.9	Preliminary Empirical Identification of Barriers Faced by Newcomers to Open Source Software Projects	2014 Brazilian Symposium on Software Engineering (SBES)	STEINMACHER, Igor ; CHAVES, Ana Paula ; CONTE, TAYANA UCHOA ; GEROSA, Marco Aurelio	B2	SBES
trabalhoCompletoEmCongresso	2014		Choosing an Appropriate Task to Start With In Open Source Software Communities: a Hard Task	International Conference on Collaboration and Technology (CRIWG 2014)	STEINMACHER, Igor ; GEROSA, Marco Aurelio	B1	CRIWG
trabalhoCompletoEmCongresso	2014		Onboarding, and Retaining Newcomer Developers in Open Source Software Projects. I	Workshop of Global Software Development in a CSCW perspective	STEINMACHER, Igor ; GEROSA, Marco Aurelio ; REDMILES, David F.	Qualis nao identificado	Workshop of Global Software Development in a CSCW perspective
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.1145/2593702.2593704	The hard life of open source software project newcomers	the 7th International Workshop	STEINMACHER, Igor ; WIESE, Igor Scaliante ; CONTE, TAYANA ; Gerosa, Marco Aurélio ; REDMILES, DAVID	Qualis nao identificado	the 7th International Workshop
trabalhoCompletoEmCongresso	2014		The Hard Life of Newcomers to Open Source Sotware Projects	7th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2014)	STEINMACHER, IGOR ; WIESE, Igor Scaliante ; CONTE, Tayana U. ; GEROSA, Marco Aurelio ; REDMILES, David. F.	Qualis nao identificado	7th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2014)
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.1007/978-3-319-10166-8_27	Using Structural Holes Metrics from Communication Networks to Predict Change Dependencies	International Conference on Collaboration and Technology (CRIWG 2014)	WIESE, Igor Scaliante ; KURODA, R. T. ; NASSIF JUNIOR, D. ; RÉ, Reginaldo ; OLIVA, G. A. ; GEROSA, Marco Aurelio	B1	CRIWG
trabalhoCompletoEmCongresso	2014		Um estudo empírico do uso da comunicação para caracterizar a ocorrência de dependências de mudanças no projeto Rails	2nd Workshop on Software Visualization	WIESE, Igor Scaliante ; KURODA, R. T. ; Ré, R. ; OLIVA, G. A. ; GEROSA, Marco Aurelio	B1	Software Visualization
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.1145/2639490.2639505	Social Metrics included in Prediction Models on Software Engineering: A Mapping Study	PROMISE - The 10th International Conference on Predictive Models in Software Engineering	WIESE, Igor Scaliante ; CÔGO, FILIPE ROSEIRO ; RÉ, REGINALDO ; STEINMACHER, IGOR ; GEROSA, MARCO AURÉLIO	Qualis nao identificado	PROMISE - The 10th International Conference on Predictive Models in Software Engineering
trabalhoCompletoEmCongresso	2013		Requirements for game design tools	SBGames 2013 - XII Simpósio Brasileiro de Jogos e Entretenimento Digital	ALMEIDA, Marcos Silvano ; SILVA, F. S. C.	B4	Simpósio Brasileiro de Jogos e Entretenimento Digital
trabalhoCompletoEmCongresso	2013		Towards a Library of Game Components	SBGames 2013 - XII Simpósio Brasileiro de Jogos e Entretenimento Digital	ALMEIDA, Marcos Silvano ; SILVA, F. S. C.	B4	Simpósio Brasileiro de Jogos e Entretenimento Digital
trabalhoCompletoEmCongresso	2013		Towards a Game Design Patterns Suggestion Tool: The documentation of a computerized textual analysis experiment	XII Simpósio Brasileiro de Jogos e Entretenimento Digital (SBGames 2013) (realizado em conjunto com o ICEC 2013)	ALMEIDA, Marcos Silvano ; VALENTIN, Lucio Geronimo ; GONÇALVES, R. A. ; CORREA DA SILVA, F. S.	B4	Simpósio Brasileiro de Jogos e Entretenimento Digital
trabalhoCompletoEmCongresso	2013		Uma abordagem para classificação de construção de software utilizando redes de comunicação e cooperação	Workshop de Manutenção de Software Moderna/Simpósio Brasileiro de Qualidade de Software	FONTOURA, VIdal Daniel ; WIESE, Igor Scaliante ; STEINMACHER, IGOR ; RÉ, Reginaldo ; SILVA, José Teodoro ; Gerosa, Marco Aurélio	B3	Simpósio Brasileiro de Qualidade de Software
trabalhoCompletoEmCongresso	2013	http://dx.doi.org/10.1109/EIDWT.2013.140	Dynamic Creation of BSP/CGM Clusters on Cloud Computing Platforms	4TH International Conference on Emerging Intelligent Data and Web Technologies - Workshop: Third International Workshop on the Service for Large Scale Distributed Systems (SeDiS-2013)	KRAEMER, A. ; OLIVEIRA, J. C. ; SANTOS, F. G. ; MACIEL, A. C. ; GOLDMAN, A. ; CORDEIRO, D. A.	Qualis nao identificado	4TH International Conference on Emerging Intelligent Data and Web Technologies - Workshop: Third International Workshop on the Service for Large Scale Distributed Systems (SeDiS-2013)
trabalhoCompletoEmCongresso	2013		Modelos de máquinas virtuais para execução de experimentos científicos em nuvem privada	III Seminário de Extensão e Inovação da UTFPR	NOYA, G. P. ; SOUZA, M. R. E. ; KRAEMER, A.	Qualis nao identificado	III Seminário de Extensão e Inovação da UTFPR
trabalhoCompletoEmCongresso	2013	http://dx.doi.org/10.1145/2501543.2501547	What Can Commit Metadata Tell Us About Design Degradation?	the 2013 International Workshop	OLIVA, GUSTAVO ANSALDI ; STEINMACHER, IGOR ; WIESE, IGOR ; Gerosa, Marco Aurélio	Qualis nao identificado	the 2013 International Workshop
trabalhoCompletoEmCongresso	2013		Paralelização em GPU de Aplicação para Genoma	Workshop de Iniciação Científica (WSCAD-WIC) realizado em conjunto com o Simpósio em Sistemas Computacionais (WSCAD-SSC)	QUEIROZ JUNIOR, N. L. ; GONÇALVES, R. A. ; FLORES, Franklin César ; SHISHIDO, H. Y. ; GONÇALVES, Ronaldo Augusto de Lara	B4	Simpósio em Sistemas Computacionais
trabalhoCompletoEmCongresso	2013		SBC - Proceedings of SBGames 2013	XII Brazilian Symposium on Games and Digital Entertainment	SALVADOR, V. F. M. ; Kawamoto, André Luiz Satoshi ; Corrêa a da Silva, F	Qualis nao identificado	XII Brazilian Symposium on Games and Digital Entertainment
trabalhoCompletoEmCongresso	2013		Detecção de alertas de segurança em redes de computadores usando redes sociais	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC)	SANTOS, L. A. F. ; CAMPIOLO, Rodrigo ; GEROSA, M. A. ; BATISTA, D. M.	B2	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
trabalhoCompletoEmCongresso	2013		Predizendo a Participação de Desenvolvedores em Discussões em Projetos de Software Livre	XIV Workshop de Software Livre (WSL 2013)	SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; WIESE, Igor Scaliante ; STEINMACHER, Igor Fábio ; GEROSA, Marco Aurélio ; FERREIRA, João Eduardo	Qualis nao identificado	XIV Workshop de Software Livre (WSL 2013)
trabalhoCompletoEmCongresso	2013	http://dx.doi.org/10.1109/CHASE.2013.6614728	Why Do Newcomers Abandon Open Source Software Projects?. In: Workshop on Cooperative and Human Aspects of Software Development	2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)	STEINMACHER, I. ; WIESE, Igor Scaliante ; CHAVES, A. P ; GEROSA, Marco Aurelio	Qualis nao identificado	2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)
